id,date,author,words,answers,explanation,direction,difficulty,clue
19,29/09/2026,TonyValues,מלטה|המלדיביים|סנט קיטס ונוויס|איי מרשל|ליכטנשטיין|סן מרינו|טובאלו|נאורו|מונקו,ותיקן|קריית הותיקן|וותיקן|הותיקן|הוותיקן,המדינות בעלות השטח הקטן ביותר,straight,1,
20,01/10/2026,TonyValues,איפה|איפה|איפה|איפה|איפה|איפה|איפה|איפה|איפה|איפה|איפה|איפה|איפה|,העוגה,אין חגיגה בלי עוגה,straight,2,
21,03/10/2026,TonyValues,אדוארד|ג'ורג'|אדוארד|ג'ורג'|אליזבת,צ'ארלס|צארלס,בית המלוכה הבריטי,straight,2,
22,05/10/2026,TonyValues,אוסטרליה|פורטוגל|ארצות הברית|צפון קוריאה|צ'כיה|ארגנטינה|אתיופיה|הונגריה|אוסטריה|גרמניה|ברזיל|אין|אין|אין,רוסיה וסין|רוסיה|סין,מספר עולה של מדינות שכנות,straight,3,
23,07/10/2026,TonyValues,37|31|29|23|19|17,13,מספרים ראשוניים,reversed,2,
24,09/10/2026,TonyValues,רחל|שאול|לאה,נתן|נתן אלתרמן,שטרות ישראליים,straight,2,
25,11/10/2026,TonyValues,לא|לא|לא|לא|לא|כבד|זכור|לא|לא,אנכי|אנוכי,המילה הראשונה בעשרת הדברות לאחור,reversed,1,
26,13/10/2026,TonyValues,סין|ליטא|מאוריציוס|סיישל,דרום אפריקה,כל פעם נוסף צבע לדגל,straight,3,
27,15/10/2026,TonyValues,תשחרר אותי|אני|חד קרן|הוריקן|יום חדש יעלה,מישל|michelle,שירי ישראל באירוויזיון,straight,1,
28,17/10/2026,TonyValues,אתיופיה|רוסיה|בנגלדש|ברזיל|ניגריה|פקיסטן|אינדונזיה|ארצות הברית|סין,הודו,המדינות הכי מאוכלסות,straight,1,
29,19/10/2026,TonyValues,M|D|C|L|X|V,I|1,ספרות רומיות,reversed,1,
30,21/10/2026,TonyValues,19|21|25,30,אלבומים של אדל,straight,2,
31,23/10/2026,TonyValues,האימפריה העותמנית|מונרכיית הבסבורג|האימפריה האוסטרית|האימפריה האוסטרו-הונגרית|ממלכת הונגריה|הרפובליקה העממית של הונגריה,הונגריה|הונגרייה|מדינת הונגריה,למי הייתה שייכת הונגריה של היום,straight,3,
32,25/10/2026,TonyValues,1984|1985|1986|1987,2013,שנים שבהן כל הספרות שונות,straight,2,
33,27/10/2026,TonyValues,"פונט א""י|לירה א""י|לירה ישראלית|שקל",שקל חדש|שח|₪,מטבעות בארץ ישראל,straight,1,
34,29/10/2026,TonyValues,לבן|אדום|צהוב|כתום|ירוק|כחול|חום,שחור|שחורה,חגורות בקראטה,straight,2,
35,31/10/2026,TonyValues,קופנהגן|ריגה|סטוקהולם|טאלין|אוסלו|הלנסיקי,ריקיאוויק|ריקיוויק|ריקיאויק|ריקיויק,ערי הבירה הכי צפוניים באירופה,straight,1,
36,02/11/2026,TonyValues,יוטה|אוקלהומה|ניו מקסיקו|אריזונה|אלסקה,הוואי|הואי|הוואיי,מדינות ארצות הברית לפי סדר ההצטרפות,straight,2,
37,04/11/2026,TonyValues,1|2|0.1|10|5,0.5|חצי|1/2,ערכי מטבעות ישראליים לפי גודל מהקטן לגדול,straight,1,
38,06/11/2026,TonyValues,שב|אד|ני|אי|סי|תמ|אב|,אל|אלול,האותיות הראשונות של חודשים עבריים,straight,1,
39,08/11/2026,TonyValues,קייב|ליסבון|תל אביב|רוטרדם|טורין|ליברפול|מאלמו|באזל,וינה,ערם שאירחו את האויוויזיון,straight,2,
40,10/11/2026,TonyValues,2026|2022|2020|2019|2019|2015,2013,השנים לבחירות לכנסת האחרונות,reversed,2,
41,12/11/2026,TonyValues,קיריבטי|טובאלו|סרביה|שוויץ|מזרח טימור|מונטנגרו,דרום סודאן|דרום סודן,"המדינות האחרונות שנכנסו לאו""ם",straight,3,
42,14/11/2026,TonyValues,כבד|כליות|מדורי לב|עצמות שורש כף היד ביד אחת|שיניים בכל לסת,שיניים|שינים,כמות גדלה פי 2 של איברים בגוף,straight,3,
43,16/11/2026,TonyValues,ג'ורג' וושינגטון|תומאס ג'פרסון|תאודור רוזוולט,אברהם לינקולן|אברהם|לינקולן,נמצאים על הר ראשמור משמאל לימין,none,3,
44,18/11/2026,TonyValues,12|13|16|17|18,30|שלושים,מספרים המתחילים באות ש',straight,2,
45,20/11/2026,TonyValues,אורנוס|נפטון|פלוטו|אמריקה|מארי קירי|העיר ברקלי|קליפורניה,אלברט איינשטיין|איינשטיין|אלברט|אינשטיין|איינשטין|אלברט אינשטיין,על מה קרואים שמות היסודות החל מאורניום,straight,3,
46,22/11/2026,TonyValues,3|4|4|4|3|2|3|5|3,3|שלוש,כמות אותיות של הספרות,straight,2,
47,24/11/2026,TonyValues,גישה|אל|שיא|איש|לא,השיג,משפט פלינדרומי,straight,2,
48,26/11/2026,TonyValues,נשר|סמך|עין|פסל|ציפור|קורח,רות|ר,אלפבית צלילי (פונטי),straight,1,
49,28/11/2026,TonyValues,ראשון|נשים|בראשית|רחל,אברהם|יצחק|יעקב,אחד מי יודע,reversed,3,
50,30/11/2026,TonyValues,ארבע בפינות|שלוש באלכסון|שתיים באלכסון,באמצע|אחד באמצע,נקודות בקוביה,reversed,2,
51,02/12/2026,TonyValues,טבעי|שלם|רציונלי|ממשי,מרוכב|קומפלקסי|מורכב,מספרים,straight,1,
52,04/12/2026,TonyValues,שלושה|ישר|לשטוף במים|בית מלא,רביעייה|ארבעה,תרגומים של ידיים בפוקר,straight,2,
53,06/12/2026,TonyValues,בנימין 0|ראובן 1|חיים 2,יצחק 3|יצחק|יצחק3,כמות נשיאים באותו שם,none,2,
54,08/12/2026,TonyValues,,,,,,
55,10/12/2026,TonyValues,,,,,,
56,12/12/2026,TonyValues,ברצלונה 2|אטלנטה 1|סידני 1|בייג'ינג 1|ריו דה ז'ניירו 2|טוקיו 4,פריז 7|פריז7,מדליות ישראליות באולימפיאדות,straight,1,
57,14/12/2026,TonyValues,,,,,,
58,16/12/2026,TonyValues,,,,,,
59,18/12/2026,TonyValues,,,,,,
60,20/12/2026,TonyValues,,,,,,
61,22/12/2026,TonyValues,,,,,,
62,24/12/2026,TonyValues,,,,,,
63,26/12/2026,TonyValues,,,,,,
64,28/12/2026,TonyValues,,,,,,
65,30/12/2026,TonyValues,,,,,,
66,01/01/2027,TonyValues,,,,,,
67,03/01/2027,TonyValues,,,,,,
68,05/01/2027,TonyValues,,,,,,
69,07/01/2027,TonyValues,,,,,,
70,09/01/2027,TonyValues,,,,,,
71,11/01/2027,,,,,,,
72,13/01/2027,,,,,,,
73,15/01/2027,,,,,,,
74,17/01/2027,,,,,,,
75,19/01/2027,,,,,,,
76,21/01/2027,,,,,,,
77,23/01/2027,,,,,,,
78,25/01/2027,,,,,,,
79,27/01/2027,,,,,,,
80,29/01/2027,,,,,,,
81,31/01/2027,,,,,,,
82,02/02/2027,,,,,,,
83,04/02/2027,,,,,,,
84,06/02/2027,,,,,,,
85,08/02/2027,,,,,,,
86,10/02/2027,,,,,,,
87,12/02/2027,,,,,,,
88,14/02/2027,,,,,,,
89,16/02/2027,,,,,,,
90,18/02/2027,,,,,,,
91,20/02/2027,,,,,,,
92,22/02/2027,,,,,,,
93,24/02/2027,,,,,,,
94,26/02/2027,,,,,,,
95,28/02/2027,,,,,,,
96,02/03/2027,,,,,,,
97,04/03/2027,,,,,,,
98,06/03/2027,,,,,,,
99,08/03/2027,,,,,,,
100,10/03/2027,,,,,,,
101,12/03/2027,,,,,,,
102,14/03/2027,,,,,,,
103,16/03/2027,,,,,,,
104,18/03/2027,,,,,,,
105,20/03/2027,,,,,,,
106,22/03/2027,,,,,,,
